source_sku,source_name,brand_name,form,functional_area,category,servings,cost_usd,srp_usd,active_ingredients,primary_benefits,usage,cautions,image_file,shipping_scope,source_category
GCN-027,Bone Support Strips,Core Immunity Bone Support Strips,Strips,immunity,Immunity,30,8.03,28.9,"Vitamin D3 (Cholecalciferol) (2000 IU), Vitamin K2 (Menaquinone) (120 mcg), Pullulan, Cellulose, Lecithin, Raspberry Flavor, Malic Acid, Erythritol, Sorbitol Syrup, Pectin, Steviol Glycosides","Bone Support Strips combine Vitamin D3 and Vitamin K2 in a fast-dissolving, raspberry-flavored oral strip designed to support your body’s natural bone health processes.; These nutrients work together to help maintain normal calcium absorption and bone maintenance as part of a balanced lifestyle.","Place one oral strip on your tongue and allow it to dissolve before swallowing. Take one oral strip anytime, up to a maximum of 1 strip a day.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",assets/product-immune.svg,ALL_SUPPORTED_DESTINATIONS,"Bone, Joint & Cartilage"
GCN-028,Advanced 100% Whey Protein Isolate (Chocolate),Core Sleep Advanced 100% Whey Protein Isolate Chocolate,Liquid,sleep,Sleep,30,32.25,49.9,"Whey Protein Isolate, Nidau Cocoa Powder, MCT Oil Powder, Natural Flavors, Nightfall Cocoa Powder, Sunflower Lecithin, Apple Pectin Powder, Sea Salt, Stevia Extract (leaf), Silicon Dioxide.",High-Quality Protein: Each serving delivers 22g of pure whey protein isolate to aid in muscle recovery and growth.; Rich Chocolate Flavor: Enjoy the indulgent taste of chocolate in every scoop.; Versatile Usage: Ideal for a post-workout shake or a nutritious protein boost anytime during the day.; Digestive Health: Contains apple pectin powder for added digestive support.,"As a dietary supplement, adults mix two (2) scoops with 6-8 oz. of water or favorite beverage daily. For best results, take 20-30 minutes before a meal with 8 oz. of water or as directed by your healthcare professional.","Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement. KEEP OUT OF THE REACH OF CHILDREN. DO NOT USE IF SAFETY SEAL IS DAMAGED OR MISSING. STORE IN A COOL, DRY PLACE.",assets/product-sleep.svg,US_ONLY,Proteins
GCN-029,Berberine,Core Energy Berberine,Capsules,energy,Energy,60,7.55,39.9,"Granular Berberine Hydrochloride Extract 97% (bark), Granular Berberine Hydrochloride Extract 8% (bark/root), Cellulose (vegetable capsule), MCC (microcrystalline cellulose), L-Leucine, Olive Oil.","Berberine supports normal blood sugar levels, promotes heart health, and aids in weight management, making it a great addition to your wellness routine.; Its benefits help you move toward a more balanced, healthier lifestyle.","As a dietary supplement, adults take two (2) capsules daily. For best results, take with 6-8 oz (177-236ml) of water or as directed by healthcare professional.","Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with known medical conditions should consult a physician before using this or any dietary supplement. KEEP OUT OF THE REACH OF CHILDREN. DO NOT USE IF SAFETY SEAL IS DAMAGED OR MISSING. STORE IN A COOL, DRY PLACE.",assets/product-energy.svg,ALL_SUPPORTED_DESTINATIONS,Weight Management
GCN-030,Digestive + Gut Health Strips,Core Performance Digestive + Gut Health Strips,Strips,performance,Performance,30,8.72,35.9,"Bacillus Coagulans 10 Billion CFU (50mg), Digestive Enzymatic Blend (Protease 10mg, Papain 15mg, Bromelain 15mg) 40mg, Pullulan, Mannitol, Monk Fruit Extract, Cellulose, Lecithin, Mixed Berry Flavor, Steviol Glycosides","Support your digestive wellness with our Digestive + Gut Health Strips — a quick-dissolving, mixed berry flavored oral strip formulated with probiotics and digestive enzymes.; This convenient blend promotes normal gut microflora balance and aids in the natural breakdown of proteins as part of a healthy, balanced lifestyle.","Place one oral strip on your tongue and allow it to dissolve before swallowing. Take one oral strip anytime, up to a maximum of 1 strip a day.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",assets/product-energy.svg,ALL_SUPPORTED_DESTINATIONS,Digestive Support
GCN-031,Ashwagandha,Core Focus Ashwagandha,Capsules,focus,Focus,60,5.95,23.9,"Organic Ashwagandha (Withania somnifera)(root), Organic Black Pepper (Piper nigrum)(fruit), pullulan capsules.",Supports overall health; Promotes normal hormone balance; Helps normalize energy levels,"Take one (1) capsule twice a day as a dietary supplement. For best results, take 20-30 min before a meal with an 8oz glass of water or as directed by your healthcare professional.","This product is not intended to diagnose, treat, cure or prevent any disease. Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",assets/product-focus.svg,ALL_SUPPORTED_DESTINATIONS,Specialty Supplements
GCN-032,Probiotic 20 Billion,Core Immunity Probiotic 20 Billion,Capsules,immunity,Immunity,30,6.95,19.95,"L. Acidophilus, L. Salivarius, L. Plantarum, L. Rhamnosus, B. Lactis, B. Bifidum, L. Fermentum, L. Reuteri, B. Longum, L. Gasseri, B. Animalis, L. Paracasei, B. Breve, Brown Rice Flour, Cellulose (vegetable capsule)",This probiotic supplement contains 20 billion CFUs of a patented blend of 10 beneficial live microorganisms that promote digestive and immune health.,"As a dietary supplement, adults take one (1) capsule daily. For best results, take with 6-8 oz of water or as directed by healthcare professional.","Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with known medical conditions should consult a physician before using this or any dietary supplement. KEEP OUT OF THE REACH OF CHILDREN. DO NOT USE IF SAFETY SEAL IS DAMAGED OR MISSING. STORE IN A COOL, DRY PLACE.",assets/product-immune.svg,ALL_SUPPORTED_DESTINATIONS,Digestive Support
GCN-033,Energy Strips,Core Focus Energy Strips,Strips,focus,Focus,60,8.75,36.5,"Pullulan, L-Theanine, Caffeine, Mannitol, Cellulose, Cranberry Flavor, Lecithin, Malic Acid, Pectin, Erythritol, Steviol glycosides, Methylcobalamin",Alleviating general tiredness; Reducing feelings of fatigue; Supporting wakefulness,"Place one oral strip on your tongue and allow it to dissolve. Take one oral strip anytime, up to a maximum of 1 strip a day.","This product is not intended to diagnose, treat, cure or prevent any disease. Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",assets/product-focus.svg,ALL_SUPPORTED_DESTINATIONS,Brain & Cognitive
GCN-034,Alpha Energy,Core Performance Alpha Energy,Capsules,performance,Performance,90,8.59,40.9,"Magnesium (as Magnesium Oxide) 200mg, Zinc (as Zinc Oxide) 30mg, Tribulus Terrestris (fruit) 750mg, Chrysin (seed) 75mg, Horny Goat Weed (aerial) 50mg, Longjack (root) 50mg, Saw palmetto Berries 50mg, Hawthorn Berries 50mg, Cissus Quadrangularis (stem) 50mg, Cellulose (vegetable capsule), Rice Flour, Magnesium Stearate.","Unleash your inner strength with Alpha Energy Capsules — a dynamic blend designed to support men’s energy, stamina, and vitality.; Featuring Tribulus Terrestris, Longjack, and Horny Goat Weed, this formula helps promote endurance, performance, and overall male wellness.",Take three (3) capsules before bedtime.,Consult with a physician before use if you have any medical conditions. Do not use if pregnant or lactating.,assets/product-energy.svg,ALL_SUPPORTED_DESTINATIONS,Sexual & Reproductive Wellness
GCN-035,Vision Support,Core Immunity Vision Support,Capsules,immunity,Immunity,60,6.95,28.85,Vitamin C (as ascorbic acid); Vitamin E (as d-alpha tocopherol acetate); Zinc (as zinc citrate); Copper (as copper gluconate); Bilberry Powder (fruit); Eyebright Extract 10:1 (whole herb); Lutein 5% (Tagetes erecta)(flower),This vision support supplement contains nutrients and antioxidants that support overall eye health.; It is formulated to help maintain visual acuity and support healthy vision as you age.,"As a dietary supplement, adults take two (2) capsules daily. For best results, take with 6-8 oz of water or as directed by healthcare professional.","Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with known medical conditions should consult a physician before using this or any dietary supplement. KEEP OUT OF THE REACH OF CHILDREN. DO NOT USE IF SAFETY SEAL IS DAMAGED OR MISSING. STORE IN A COOL, DRY PLACE.",assets/product-immune.svg,ALL_SUPPORTED_DESTINATIONS,"Eye, Ear & Nose"
GCN-036,Liver Support,Core Recovery Liver Support,Capsules,recovery,Recovery,60,6.19,29.9,Turmeric Powder (root); Beet Root Powder (Beta vulgaris)(root); Dandelion Powder (leaf); Artichoke Extract (Cynara scolymus)(std to 5% Cynarin)(whole herb); Ginger Powder (root); Milk Thistle Powder; Alfalfa Powder (leaf); L-Cysteine Hydrochloride,The liver support supplement contains natural ingredients that aid in liver function; detoxification and regeneration; and promoting overall health.,"As a dietary supplement, adults take two (2) capsules daily. For best results, take with 6-8 oz of water or as directed by healthcare professional.","Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with known medical conditions should consult a physician before using this or any dietary supplement. KEEP OUT OF THE REACH OF CHILDREN. DO NOT USE IF SAFETY SEAL IS DAMAGED OR MISSING. STORE IN A COOL, DRY PLACE.",assets/product-joint.svg,ALL_SUPPORTED_DESTINATIONS,Digestive Support
GCN-037,Iron Strips,Core Recovery Iron Strips,Strips,recovery,Recovery,30,8.72,28.9,"Iron (as Ferric Saccharate) (19 mg), Vitamin B9 (Folate) (400 mcg), Pullulan, Cellulose, Lecithin, Raspberry Flavor, Monk Fruit Extract, Citric Acid, Medium-Chain Triglycerides, Xanthan Gum, Steviol Glycosides","Promote your daily wellness with Iron Strips, a raspberry-flavored oral supplement designed to support normal energy and overall vitality.; With Iron and Folate, these quick-dissolving strips offer a convenient, water-free way to maintain healthy red blood cell production as part of a well-rounded lifestyle.","Place one oral strip on your tongue and allow it to dissolve before swallowing. Take one oral strip anytime, up to a maximum of 1 strip a day.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement. Accidental overdose of iron-containing products is a leading cause of fatal poisoning in children under 6. Keep this product out of reach of children. In case of accidental overdose, call a doctor or poison control center immediately. —----------------- Vitamins & Minerals Complete Multivitamin",assets/product-joint.svg,ALL_SUPPORTED_DESTINATIONS,Vitamins & Minerals
GCN-038,Complete Multivitamin,Core Immunity Complete Multivitamin,Capsules,immunity,Immunity,60,7.89,32.9,"Vitamin A (as Beta-Carotene), Vitamin C (as Ascorbic Acid), Calcium (as Calcium Carbonate), Vitamin D (as Cholecalciferol), Vitamin E (As DL-Alpha Tocopherol Acetate), Vitamin B1 (as Thiamine Mononitrate), Vitamin B2 (as Riboflavin), Vitmin B3 (as Niacin), Vitamin B6 (as Pyridoxine HCL), Folate, Vitamin B12 (as Cyanocobalamin), Biotin, Vitamin B5 (as D-Calcium Pantothenate), Magnesium (as Magnesium Oxide), Zinc (as Zinc Oxide), Selenium (as Selenium Amino Acid Chelate), Copper (as Copper Gluconate), Manganese (as Manganese Amino Acid Chelate), Chromium (as Chromium Picolinate), Molybdenum, Health Support (Lutein, Lycopene, Stinging Nettle Extract, Palmetto), Immune Support (Echinacea Extract, Beta Glucan, Spirulina, Garlic), Antioxidant Fruit & Energy Blend (Green Tea Extract, Hawthorn Berries, Cinnamon Bark Extract, Bilberry Fruit Extract, Grape Seed Extract, Black Currant Fruit Extract, Pomegranate Fruit Extract), Hypromellose (vegetable capsule), Rice Flour, Magnesium Stearate, Silicon Dioxide.",Includes a full range of essential vitamins & minerals; Includes prostate-nurturing herbs & vitamins; Superior immune system support,"As a dietary supplement, take two (2) Capsules in the morning with a meal.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",assets/product-immune.svg,ALL_SUPPORTED_DESTINATIONS,Vitamins & Minerals
GCN-039,Men's Vitality,Core Performance Mens Vitality,Powder,performance,Performance,60,7.39,36.9,"Calcium (as Calcium Carbonate) 367mg, Zinc (as Zinc Oxide) 50mg, Tongkat Ali root 400mg, Maca root 250mg, L-Arginine HCL 250mg, Ginseng Eleutherococcus Blend (Panax Ginseng, Eleutherococcus Senticosus) 125mg, Proprietary Blend (Pumpkin Extract, Sarsaparilla Extract, Muira Puama Extract, Oat Straw, Boron, Cayenne Pepper, Catuaba, Licorice Extract, Tribulus Terrestris, Orchic, Oyster Extract, Astragalus Extract, Nettle Extract) 745mg, Vegetable Stearic Acid, Vegetable Magnesium Stearate, Silicon Dioxide.","Fuel your strength and vitality with Men’s Vitality Capsules — a premium blend designed to support men’s energy, stamina, and overall wellness.; This well-balanced formula combines key nutrients like Zinc, Maca, Tongkat Ali, and Ginseng to help maintain healthy performance and endurance.","As a dietary supplement, take two (2) tablets once a day. For best results, take 20-30 min before a meal with an 8oz. glass of water or as directed by your healthcare professional.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",assets/product-energy.svg,ALL_SUPPORTED_DESTINATIONS,Sexual & Reproductive Wellness
GCN-040,Greens Superfood,Core Focus Greens Superfood,Powder,focus,Focus,60,7.59,35.9,"Barley Grass Powder (leaf), Broccoli Powder (Brassica oleracea)(leaf), Spirulina Powder (Arthrospira plutentis)(whole plant), Green Tea Powder (leaf), Alfalfa Extract (whole herb), Wheat Grass (Triticum aestivum L.)(leaf), Beet Root Powder (Beta vulgaris)(root), Hibiscus Powder (flower), Strawberry Juice Powder (fruit), Cranberry Powder (Vaccinium macrocarpon L.)(fruit), Acai Juice Powder (fruit), Blueberry Extract (berry), Pomegranate Powder (fruit), Cinnamon (Cinnamomum cassia)(bark), Turmeric Extract (root), Panax ginseng Powder (root), Ashwagandha Powder (root), Mangosteen Extract (Garcinia Mangostana L.)(pericarp), Black Pepper Extract (fruit), Inulin (from Helianthus tuberosus)(root), Ginger Powder (root), Sodium Alginate","This greens powder supplement is a dietary supplement that contains naturally occurring vitamins, minerals, and antioxidants from various plant sources.","As a dietary supplement, adults use one (1) scoop of powder in 6-8 ounces of cold water or favorite beverage once daily. Consume within 10 minutes of mixing.","Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with known medical conditions should consult a physician before using this or any dietary supplement. KEEP OUT OF THE REACH OF CHILDREN. DO NOT USE IF SAFETY SEAL IS DAMAGED OR MISSING. STORE IN A COOL, DRY PLACE.",assets/product-focus.svg,US_ONLY,Greens & Superfoods
GCN-041,Beetroot,Core Performance Beetroot,Capsules,performance,Performance,60,7.79,20.9,"Organic Beetroot Powder (beta vulgaris) 1300mg, Hypromellose (vegetable capsule), Microcrystalline Cellulose, Magnesium Stearate.","Boost your blood circulation and support your active lifestyle with Beetroot Capsules.; Made with beetroot powder, this supplement may help support nitric oxide production, promoting healthy blood flow and oxygen delivery to your muscles.","Take two (2) capsules once a day as a dietary supplement. For best results, take 20-30 min before a meal with an 8oz (237 ml) glass of water or as directed by your healthcare professional.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",assets/product-energy.svg,ALL_SUPPORTED_DESTINATIONS,Post-Workout Recovery
GCN-042,Sleep Strips,Core Sleep Sleep Strips,Strips,sleep,Sleep,60,8.05,36.5,"Pullulan, Valerian root extract, Lavender extract, Chamomile extract, Hibiscus extract, Cellulose, Raspberry Flavor, Malic acid, Xylitol, Lecithin, Erythritol, Sorbitol Syrup, Medium Chain Triglycerides, Steviol Glycosides, Melatonin",Supporting restful sleep; Reducing stress-related sleep disturbances; Promoting healthy non-REM sleep,"Place one oral strip on your tongue and allow it to dissolve. Take one oral strip anytime, up to a maximum of 1 strip a day.","This product is not intended to diagnose, treat, cure or prevent any disease. Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",assets/product-sleep.svg,ALL_SUPPORTED_DESTINATIONS,Sleep & Relaxation
GCN-043,Advanced 100% Whey Protein Isolate (Vanilla),Core Performance Advanced 100% Whey Protein Isolate Vanilla,Liquid,performance,Performance,30,31.65,49.9,"Whey Protein Isolate, Natural Flavors, MCT Oil Powder, Apple Pectin Powder, Sunflower Lecithin, Stevia Extract (leaf), Sea Salt, Silicon Dioxide.","High-Quality Protein: Each serving delivers 22g of pure whey protein isolate to aid in muscle recovery and growth.; Smooth and Creamy Flavor: Enjoy the rich, smooth taste of natural vanilla in every scoop.; Versatile Usage: Perfect for a post-workout shake or a nutritious protein boost anytime during the day.; Digestive Health: Contains apple pectin powder for added digestive support.","As a dietary supplement, adults mix two (2) scoops with 6-8 oz. of water or favorite beverage daily. For best results, take 20-30 minutes before a meal with 8 oz. of water or as directed by your healthcare professional.","Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.KEEP OUT OF THE REACH OF CHILDREN. DO NOT USE IF SAFETY SEAL IS DAMAGED OR MISSING. STORE IN A COOL, DRY PLACE.",assets/product-energy.svg,US_ONLY,Proteins
GCN-044,Joint Support,Core Recovery Joint Support,Capsules,recovery,Recovery,60,6.99,29.9,"MSM (methylsulfonylmethane), GlucosaGreen® vegetal glucosamine HCl, Turmeric Powder (root), White Willow Bark Extract, Boswellia serrata Extract (resin)(std. to 65% boswellic acids), Black Pepper Extract (fruit) (std. to 95% piperine), Hyaluronic Acid, Gelatin (capsule), Microcrystalline Cellulose (MCC), Magnesium Stearate, Olive Oil, Silicon Dioxide.",This joint support supplement provides essential nutrients and compounds that promote joint health.,"As a dietary supplement, adults take two (2) capsules daily. For best results, take with 6-8 oz of water or as directed by healthcare professional.","Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with known medical conditions should consult a physician before using this or any dietary supplement. KEEP OUT OF THE REACH OF CHILDREN. DO NOT USE IF SAFETY SEAL IS DAMAGED OR MISSING. STORE IN A COOL, DRY PLACE.",assets/product-joint.svg,ALL_SUPPORTED_DESTINATIONS,"Bone, Joint & Cartilage"
GCN-045,Prostate Support,Core Immunity Prostate Support,Capsules,immunity,Immunity,60,6.95,29.9,Vitamin E (as dl-alpha tocopheryl acetate); Vitamin B6 (as pyridoxine hydrochloride); Saw Palmetto Extract (Serenoa repens) (fruit); Pygeum africanum Extract (bark) (std. to 3% phytosterols); Grape Seed Extract (Vitis vinifera) (seed); Pumpkin Seed Extract (Cucurbita moschata) (seed); Nettle Extract (leaf); Boron (as boron amino acid chelate); Lycopene 5% (Lycopersicum esculentum) (tomato),This prostate supplement contains a blend of natural ingredients that may help promote healthy prostate function ensuring a holistic approach to men's wellness without relying on artificial substances.,"As a dietary supplement, adults take two (2) capsules daily. For best results, take with 6-8 oz of water or as directed by a healthcare professional.","Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with known medical conditions should consult a physician before using this or any dietary supplement. KEEP OUT OF THE REACH OF CHILDREN. DO NOT USE IF SAFETY SEAL IS DAMAGED OR MISSING. STORE IN A COOL, DRY PLACE.",assets/product-immune.svg,ALL_SUPPORTED_DESTINATIONS,Sexual & Reproductive Wellness
GCN-046,Energy Powder (Fruit Punch),Core Performance Energy Powder Fruit Punch,Powder,performance,Performance,60,11.65,34.99,"Thiamin (from Vitamin B1), Riboflavin (from Vitamin B2), Niacin (from Vitamin B3), Vitamin B6 (as Pyridoxal-5-phosphate), Folate (from Vitamin B9), Vitamin B12 (as Methylcobalamin), Pantothenic acid (from Vitamin B5), Calcium (from Calcium Ascorbate), Magnesium (from Magnesium Citrate), Sodium (from Sodium Citrate), Potassium (from Potassium Citrate), Taurine, Natural Caffeine (From Green Tea), L-theanine, Polydextrose, Citric acid, N&A Flavors, Sucralose, Calcium silicate, Fruit and Veggie blend (for color).","Backed by Science: Our formula isn't just a mix of ingredients; it's a carefully selected blend of components supported by scientific research to support energy and focus.; Balanced Energy: Featuring caffeine and L-theanine, our Energy Powder is designed to provide a steady energy boost. Say goodbye to jitters and the dreaded crash, and hello to sustained performance.; Nutrient-Rich: Beyond caffeine, our powder is infused with essential electrolytes and nutrients, aiming to support hydration and overall wellness, helping you maintain peak performance during physical and mental activities.; Precisely Formulated: Every ingredient in our Energy Powder is thoughtfully included at specific dosages, focusing on optimal effectiveness and alignment with wellness goals.","Measuring with the scooper located inside the jar, mix each scoop, to desired taste, with 6-10 ounces (177-296 ml) of water (2 scoops with 12-20 ounces (355-591 ml) of water).","Recommended to not exceed more than 5 scoops within a 24 hour period. Not intended for use by persons with a medical condition. Consult your physician before using this product if you are pregnant of nursing or taking any medication. Manufactured in a facility that produces Milk, Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Wheat, Soybeans, and Sesame. Store in a cool dry place, keep out of reach of children. Do not use if safety seal is broken or missing. Contents sold by weight not volume, some settling may occur. Secure lid tightly when not in use. Consume within 90 days. This product is intended to supplement a balanced diet and active lifestyle. Consult with a healthcare professional before starting any new dietary supplement, especially if you are pregnant, nursing, have any medical conditions, or are taking any medications.",assets/product-energy.svg,US_ONLY,Pre-Workout Supplements
GCN-047,Cognitive Support,Core Sleep Cognitive Support,Capsules,sleep,Sleep,30,6.65,29.9,"Niacin (as niacinamide); Vitamin B6 (as pyridoxine hydrochloride); GABA (Gamma-Aminobutyric Acid), L-Tyrosine, Caffeine, Bacopa monnieri Extract (whole herb), Phosphatidylserine 20% (sunflower), Alpha GPC (Alpha -glycerylphosphorylcholine) Powder, L-Theanine, Huperzine A 1% (Huperzia serrata) (whole herb)",This cognitive enhancement supplement contains natural compounds that support normal brain functions.,"As a dietary supplement, adults take one (1) capsule daily. For best results, take with 6-8 oz of water or as directed by healthcare professional.","Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with known medical conditions should consult a physician before using this or any dietary supplement. KEEP OUT OF THE REACH OF CHILDREN. DO NOT USE IF SAFETY SEAL IS DAMAGED OR MISSING. STORE IN A COOL, DRY PLACE.",assets/product-sleep.svg,ALL_SUPPORTED_DESTINATIONS,Brain & Cognitive
GCN-048,Hangover Strips,Core Sleep Hangover Strips,Strips,sleep,Sleep,60,8.05,36.5,"Pullulan, Pheonix Dactylifera extract, Curcuma Longa extract, Andrographis paniculate extract, Cichorium intybus extract, Vitis Vinifera extract, Phyllanthus Niruri extract, Phyllanthus Emblica extract, Cellulose, Mannitol, Licorice extract, Lecithin, Malic acid, Mango Flavor, Steviol glycosides, Orange flavor","Supporting hydration; Promoting restful sleep; Reducing occasional headaches; Support for General Wellness:While individual experiences may vary, our strips are formulated with the intent to support aspects of wellness that can be challenged after social activities. They are designed with a focus on traditional, natural ingredients.","Place one oral strip on your tongue and allow it to dissolve. Take one delicious oral strip anytime, up to a maximum of 1 strip a day.","This product is not intended to diagnose, treat, cure or prevent any disease. Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",assets/product-sleep.svg,ALL_SUPPORTED_DESTINATIONS,Specialty Supplements
GCN-049,Horny Goat Weed Blend,Core Performance Horny Goat Weed Blend,Capsules,performance,Performance,60,7.15,33.9,"Horny Goat Weed Extract, Maca Root Powder, Polypodium Vulgare Powder, Tongkat Ali Root Powder, Saw Palmetto Berry Powder, Muira Puama Root Powder, L-Arginine HCL, Panax Ginseng Root Powder, Gelatin Capsule, Rice Flour, Vegetable Magnesium Stearate.","Aids in maintaining the natural balance in sex hormones; Promotes normal libido in both men & women; Supports mood, memory & focus; Energizing herbs help bolster performance","As a dietary supplement, take two (2) capsules once a day. For best results, take 20-30 min before a meal with an 8oz. glass of water or as directed by your healthcare professional.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",assets/product-energy.svg,ALL_SUPPORTED_DESTINATIONS,Sexual & Reproductive Wellness
GCN-050,Grass-Fed Hydrolyzed Collagen Peptides,Core Recovery Grass-fed Hydrolyzed Collagen Peptides,Capsules,recovery,Recovery,60,16.65,33.9,Bovine Hide Collagen Peptides.,Supports healthy bones and joints; Improved skin elasticity; Strengthens connective tissue in the body,Add one (1) level scoop to 8-10 oz. (236-295 ml) of chilled water or preferred beverage in a shaker cup and mix for about 5 seconds. Drink and enjoy a shake each day.,"Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place.",assets/product-joint.svg,ALL_SUPPORTED_DESTINATIONS,"Skin, Hair & Nail Health"
GCN-051,Lion's Mane Mushroom,Core Focus Lions Mane Mushroom,Capsules,focus,Focus,60,11.65,33.9,"Organic Lion’s Mane (Hericum erinaceus) Mushroom Fruiting Body & Mycelium Powder (Standardized to 40% polysaccharides [400mg]), Organic capsule (pullulan, water), organic pea starch.",Enhances memory and cognition; Supports mental wellbeing; Promotes healthy blood flow,"As a dietary supplement, adults take two (2) capsules daily or as directed by a health care professional. Can be taken with food or on an empty stomach.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place.",assets/product-focus.svg,ALL_SUPPORTED_DESTINATIONS,Mushroom Products
GCN-052,Probiotic 40 Billion with Prebiotics,Core Recovery Probiotic 40 Billion With Prebiotics,Capsules,recovery,Recovery,60,10.09,30.9,"Proprietary Blend of Probiotic Bacteria: MAKTREK® (Bi-Pass Technology), Lactobacillus Acidophilus, Bifidobacterium Lactis, Lactobacillus Plantarum, Lactobacillus Paracasei, Marine Polysaccharide Complex, Fructooligosaccharide, Hypromellose (vegetable capsule) , Rice maltodextrin, L-Leucine.",Cleansing; Digestive Health; Holistic Health,"Take two (2) capsules once a day as a dietary supplement. For best results, take one (1) capsule during the day and one (1) capsule in the evening. Repeat the process daily. Do not exceed two capsules per day.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place.",assets/product-joint.svg,ALL_SUPPORTED_DESTINATIONS,Digestive Support
GCN-053,"Hair, Skin & Nails Gummies","Core Immunity Hair, Skin And Nails Gummies",Gummies,immunity,Immunity,60,9.79,34.9,"Vitamin A (as retinyl acetate), Vitamin C (as ascorbic acid), Vitamin D (as cholecalciferol), Vitamin E (as dl-Alpha tocopheryl acetate), Vitamin B-6 (as pyridoxine HCI), Folate, Vitamin B-12 (as cyanocobalamin), Biotin, Pantothenic Acid (as calcium d-pantothenate), Iodine (as potassium iodide), Zinc (as zinc citrate), PABA (para-Aminobenzoic Acid), Collagen (piscine), Silicon, Glucose syrup, Sugar, Glucose, Pectin, Citric acid, Sodium citrate, Passion fruit flavor, Vegetable oil (contains carnauba wax), Purple carrot juice concentrate.","Elevate your beauty routine with Hair, Skin & Nails Gummies, a delicious blend of essential vitamins and minerals designed to support your natural radiance.; Formulated with Biotin, Vitamins A, C, and E, these gummies are a convenient and tasty way to nourish your hair, skin, and nails.",Take 2 gummies daily or as directed by a healthcare professional.,"Take only as directed. Do not exceed the suggested dosage. Pregnant or nursing mothers, children under 18, or individuals with a known medical condition should consult a physician before using this or any dietary supplement. This product may settle during shipping. Natural colors may darken over time, but this does not affect potency. This product is manufactured and packaged in a facility that may also process milk, soy, wheat, eggs, peanuts, tree nuts, fish, and crustacean shellfish. KEEP OUT OF REACH OF CHILDREN. DO NOT USE IF SAFETY SEAL IS DAMAGED OR MISSING. STORE IN A COOL, DRY PLACE.",assets/product-immune.svg,ALL_SUPPORTED_DESTINATIONS,"Skin, Hair & Nail Health"
