source_sku,source_name,product_id,brand_name,category,badge,suggested_price_usd,hero_headline,hero_subheadline,what_it_is,what_it_does,how_to_use,key_ingredients,testing_copy,cautions_copy,cta_primary,cta_secondary,image_file
GCN-030,Digestive + Gut Health Strips,core-performance-digestive-gut-health-strips,Core Performance Digestive + Gut Health Strips,Performance,Core Performance,36,Core Performance Digestive + Gut Health Strips,"Supports digestive comfort, gut function, and nutrient utilization.",A premium strips formula engineered for performance routine architecture and long-term consistency,"Supports digestive comfort, gut function, and nutrient utilization.","Place one oral strip on your tongue and allow it to dissolve before swallowing. Take one oral strip anytime, up to a maximum of 1 strip a day. Do not exceed labeled serving size.","Bacillus Coagulans 10 Billion CFU (50mg), Digestive Enzymatic Blend (Protease 10mg, Papain 15mg, Bromelain 15mg) 40mg, Pullulan, Mannitol, Monk Fruit Extract, Cellulose, Lecithin, Mixed Berry Flavor, Steviol Glycosides","Third-party verified identity, potency, and contaminant controls on every production lot.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-performance-digestive-gut-health-strips.svg
GCN-031,Ashwagandha,core-focus-ashwagandha,Core Focus Ashwagandha,Focus,Core Focus,24,Core Focus Ashwagandha,Supports cognitive performance and stress resilience.,A premium capsules formula engineered for focus routine architecture and long-term consistency,Supports cognitive performance and stress resilience; Supports hormonal and reproductive health markers; Supports cellular energy metabolism and daily vitality.,"Take one (1) capsule twice a day as a dietary supplement. For best results, take 20-30 min before a meal with an 8oz glass of water or as directed by your healthcare professional. Do not exceed labeled serving size.","Organic Ashwagandha (Withania somnifera)(root), Organic Black Pepper (Piper nigrum)(fruit), pullulan capsules.","Third-party verified identity, potency, and contaminant controls on every production lot.","This product is not intended to diagnose, treat, cure or prevent any disease. Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",Add to Cart,Build My Stack,/assets/packshots/core-focus-ashwagandha.svg
GCN-032,Probiotic 20 Billion,core-immunity-probiotic-20-billion,Core Immunity Probiotic 20 Billion,Immunity,Core Immunity,20,Core Immunity Probiotic 20 Billion,Supports normal immune function.,A premium capsules formula engineered for immunity routine architecture and long-term consistency,Supports normal immune function.,"As a dietary supplement, adults take one (1) capsule daily. For best results, take with 6-8 oz of water or as directed by healthcare professional. Do not exceed labeled serving size.","L. Acidophilus, L. Salivarius, L. Plantarum, L. Rhamnosus, B. Lactis, B. Bifidum, L. Fermentum, L. Reuteri, B. Longum, L. Gasseri, B. Animalis, L. Paracasei, B. Breve, Brown Rice Flour, Cellulose (vegetable capsule)","Third-party verified identity, potency, and contaminant controls on every production lot.","Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with known medical conditions should consult a physician before using this or any dietary supplement. KEEP OUT OF THE REACH OF CHILDREN. DO NOT USE IF SAFETY SEAL IS DAMAGED OR MISSING. STORE IN A COOL, DRY PLACE. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-immunity-probiotic-20-billion.svg
GCN-033,Energy Strips,core-focus-energy-strips,Core Focus Energy Strips,Focus,Core Focus,37,Core Focus Energy Strips,Supports cognitive performance and stress resilience.,A premium strips formula engineered for focus routine architecture and long-term consistency,Supports cognitive performance and stress resilience; Supports cellular energy metabolism and daily vitality.,"Place one oral strip on your tongue and allow it to dissolve. Take one oral strip anytime, up to a maximum of 1 strip a day. Do not exceed labeled serving size.","Pullulan, L-Theanine, Caffeine, Mannitol, Cellulose, Cranberry Flavor, Lecithin, Malic Acid, Pectin, Erythritol, Steviol glycosides, Methylcobalamin","Third-party verified identity, potency, and contaminant controls on every production lot.","This product is not intended to diagnose, treat, cure or prevent any disease. Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",Add to Cart,Build My Stack,/assets/packshots/core-focus-energy-strips.svg
GCN-034,Alpha Energy,core-performance-alpha-energy,Core Performance Alpha Energy,Performance,Core Performance,41,Core Performance Alpha Energy,"Supports exercise performance, strength output, and recovery capacity.",A premium capsules formula engineered for performance routine architecture and long-term consistency,"Supports exercise performance, strength output, and recovery capacity.",Take three (3) capsules before bedtime. Do not exceed labeled serving size.,"Magnesium (as Magnesium Oxide) 200mg, Zinc (as Zinc Oxide) 30mg, Tribulus Terrestris (fruit) 750mg, Chrysin (seed) 75mg, Horny Goat Weed (aerial) 50mg, Longjack (root) 50mg, Saw palmetto Berries 50mg, Hawthorn Berries 50mg, Cissus Quadrangularis (stem) 50mg, Cellulose (vegetable capsule), Rice Flour, Magnesium Stearate.","Third-party verified identity, potency, and contaminant controls on every production lot.","Consult with a physician before use if you have any medical conditions. Do not use if pregnant or lactating. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-performance-alpha-energy.svg
GCN-035,Vision Support,core-immunity-vision-support,Core Immunity Vision Support,Immunity,Core Immunity,29,Core Immunity Vision Support,Provides antioxidant support against oxidative stress.,A premium capsules formula engineered for immunity routine architecture and long-term consistency,Provides antioxidant support against oxidative stress; Supports immune readiness and daily resilience.,"As a dietary supplement, adults take two (2) capsules daily. For best results, take with 6-8 oz of water or as directed by healthcare professional. Do not exceed labeled serving size.",Vitamin C (as ascorbic acid); Vitamin E (as d-alpha tocopherol acetate); Zinc (as zinc citrate); Copper (as copper gluconate); Bilberry Powder (fruit); Eyebright Extract 10:1 (whole herb); Lutein 5% (Tagetes erecta)(flower),"Third-party verified identity, potency, and contaminant controls on every production lot.","Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with known medical conditions should consult a physician before using this or any dietary supplement. KEEP OUT OF THE REACH OF CHILDREN. DO NOT USE IF SAFETY SEAL IS DAMAGED OR MISSING. STORE IN A COOL, DRY PLACE. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-immunity-vision-support.svg
GCN-036,Liver Support,core-recovery-liver-support,Core Recovery Liver Support,Recovery,Core Recovery,30,Core Recovery Liver Support,"Supports normal liver, kidney, and metabolic clearance pathways.",A premium capsules formula engineered for recovery routine architecture and long-term consistency,"Supports normal liver, kidney, and metabolic clearance pathways; Supports recovery, hydration, and tissue resilience.","As a dietary supplement, adults take two (2) capsules daily. For best results, take with 6-8 oz of water or as directed by healthcare professional. Do not exceed labeled serving size.",Turmeric Powder (root); Beet Root Powder (Beta vulgaris)(root); Dandelion Powder (leaf); Artichoke Extract (Cynara scolymus)(std to 5% Cynarin)(whole herb); Ginger Powder (root); Milk Thistle Powder; Alfalfa Powder (leaf); L-Cysteine Hydrochloride,"Third-party verified identity, potency, and contaminant controls on every production lot.","Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with known medical conditions should consult a physician before using this or any dietary supplement. KEEP OUT OF THE REACH OF CHILDREN. DO NOT USE IF SAFETY SEAL IS DAMAGED OR MISSING. STORE IN A COOL, DRY PLACE. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-recovery-liver-support.svg
GCN-037,Iron Strips,core-recovery-iron-strips,Core Recovery Iron Strips,Recovery,Core Recovery,29,Core Recovery Iron Strips,Supports cellular energy metabolism and daily vitality.,A premium strips formula engineered for recovery routine architecture and long-term consistency,"Supports cellular energy metabolism and daily vitality; Supports recovery, hydration, and tissue resilience.","Place one oral strip on your tongue and allow it to dissolve before swallowing. Take one oral strip anytime, up to a maximum of 1 strip a day. Do not exceed labeled serving size.","Iron (as Ferric Saccharate) (19 mg), Vitamin B9 (Folate) (400 mcg), Pullulan, Cellulose, Lecithin, Raspberry Flavor, Monk Fruit Extract, Citric Acid, Medium-Chain Triglycerides, Xanthan Gum, Steviol Glycosides","Third-party verified identity, potency, and contaminant controls on every production lot.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement. Accidental overdose of iron-containing products is a leading cause of fatal poisoning in children under 6. Keep this product out of reach of children. In case of accidental overdose, call a doctor or poison control center immediately. —----------------- Vitamins & Minerals Complete Multivitamin. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-recovery-iron-strips.svg
GCN-038,Complete Multivitamin,core-immunity-complete-multivitamin,Core Immunity Complete Multivitamin,Immunity,Core Immunity,33,Core Immunity Complete Multivitamin,Supports immune readiness and daily resilience.,A premium capsules formula engineered for immunity routine architecture and long-term consistency,Supports immune readiness and daily resilience; Supports hormonal and reproductive health markers; Supports normal immune function.,"As a dietary supplement, take two (2) Capsules in the morning with a meal. Do not exceed labeled serving size.","Vitamin A (as Beta-Carotene), Vitamin C (as Ascorbic Acid), Calcium (as Calcium Carbonate), Vitamin D (as Cholecalciferol), Vitamin E (As DL-Alpha Tocopherol Acetate), Vitamin B1 (as Thiamine Mononitrate), Vitamin B2 (as Riboflavin), Vitmin B3 (as Niacin), Vitamin B6 (as Pyridoxine HCL), Folate, Vitamin B12 (as Cyanocobalamin), Biotin, Vitamin B5 (as D-Calcium Pantothenate), Magnesium (as Magnesium Oxide), Zinc (as Zinc Oxide), Selenium (as Selenium Amino Acid Chelate), Copper (as Copper Gluconate), Manganese (as Manganese Amino Acid Chelate), Chromium (as Chromium Picolinate), Molybdenum, Health Support (Lutein, Lycopene, Stinging Nettle Extract, Palmetto), Immune Support (Echinacea Extract, Beta Glucan, Spirulina, Garlic), Antioxidant Fruit & Energy Blend (Green Tea Extract, Hawthorn Berries, Cinnamon Bark Extract, Bilberry Fruit Extract, Grape Seed Extract, Black Currant Fruit Extract, Pomegranate Fruit Extract), Hypromellose (vegetable capsule), Rice Flour, Magnesium Stearate, Silicon Dioxide.","Third-party verified identity, potency, and contaminant controls on every production lot.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-immunity-complete-multivitamin.svg
GCN-039,Men's Vitality,core-performance-mens-vitality,Core Performance Mens Vitality,Performance,Core Performance,37,Core Performance Mens Vitality,"Supports exercise performance, strength output, and recovery capacity.",A premium powder formula engineered for performance routine architecture and long-term consistency,"Supports exercise performance, strength output, and recovery capacity.","As a dietary supplement, take two (2) tablets once a day. For best results, take 20-30 min before a meal with an 8oz. glass of water or as directed by your healthcare professional. Do not exceed labeled serving size.","Calcium (as Calcium Carbonate) 367mg, Zinc (as Zinc Oxide) 50mg, Tongkat Ali root 400mg, Maca root 250mg, L-Arginine HCL 250mg, Ginseng Eleutherococcus Blend (Panax Ginseng, Eleutherococcus Senticosus) 125mg, Proprietary Blend (Pumpkin Extract, Sarsaparilla Extract, Muira Puama Extract, Oat Straw, Boron, Cayenne Pepper, Catuaba, Licorice Extract, Tribulus Terrestris, Orchic, Oyster Extract, Astragalus Extract, Nettle Extract) 745mg, Vegetable Stearic Acid, Vegetable Magnesium Stearate, Silicon Dioxide.","Third-party verified identity, potency, and contaminant controls on every production lot.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-performance-mens-vitality.svg
GCN-040,Greens Superfood,core-focus-greens-superfood,Core Focus Greens Superfood,Focus,Core Focus,36,Core Focus Greens Superfood,Provides antioxidant support against oxidative stress.,A premium powder formula engineered for focus routine architecture and long-term consistency,Provides antioxidant support against oxidative stress.,"As a dietary supplement, adults use one (1) scoop of powder in 6-8 ounces of cold water or favorite beverage once daily. Consume within 10 minutes of mixing. Do not exceed labeled serving size.","Barley Grass Powder (leaf), Broccoli Powder (Brassica oleracea)(leaf), Spirulina Powder (Arthrospira plutentis)(whole plant), Green Tea Powder (leaf), Alfalfa Extract (whole herb), Wheat Grass (Triticum aestivum L.)(leaf), Beet Root Powder (Beta vulgaris)(root), Hibiscus Powder (flower), Strawberry Juice Powder (fruit), Cranberry Powder (Vaccinium macrocarpon L.)(fruit), Acai Juice Powder (fruit), Blueberry Extract (berry), Pomegranate Powder (fruit), Cinnamon (Cinnamomum cassia)(bark), Turmeric Extract (root), Panax ginseng Powder (root), Ashwagandha Powder (root), Mangosteen Extract (Garcinia Mangostana L.)(pericarp), Black Pepper Extract (fruit), Inulin (from Helianthus tuberosus)(root), Ginger Powder (root), Sodium Alginate","Third-party verified identity, potency, and contaminant controls on every production lot.","Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with known medical conditions should consult a physician before using this or any dietary supplement. KEEP OUT OF THE REACH OF CHILDREN. DO NOT USE IF SAFETY SEAL IS DAMAGED OR MISSING. STORE IN A COOL, DRY PLACE. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-focus-greens-superfood.svg
GCN-041,Beetroot,core-performance-beetroot,Core Performance Beetroot,Performance,Core Performance,21,Core Performance Beetroot,Supports cardiovascular function and circulation.,A premium capsules formula engineered for performance routine architecture and long-term consistency,"Supports cardiovascular function and circulation; Supports exercise performance, strength output, and recovery capacity.","Take two (2) capsules once a day as a dietary supplement. For best results, take 20-30 min before a meal with an 8oz (237 ml) glass of water or as directed by your healthcare professional. Do not exceed labeled serving size.","Organic Beetroot Powder (beta vulgaris) 1300mg, Hypromellose (vegetable capsule), Microcrystalline Cellulose, Magnesium Stearate.","Third-party verified identity, potency, and contaminant controls on every production lot.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-performance-beetroot.svg
GCN-042,Sleep Strips,core-sleep-sleep-strips,Core Sleep Sleep Strips,Sleep,Core Sleep,37,Core Sleep Sleep Strips,Supports restful sleep quality and circadian rhythm.,A premium strips formula engineered for sleep routine architecture and long-term consistency,Supports restful sleep quality and circadian rhythm.,"Place one oral strip on your tongue and allow it to dissolve. Take one oral strip anytime, up to a maximum of 1 strip a day. Do not exceed labeled serving size.","Pullulan, Valerian root extract, Lavender extract, Chamomile extract, Hibiscus extract, Cellulose, Raspberry Flavor, Malic acid, Xylitol, Lecithin, Erythritol, Sorbitol Syrup, Medium Chain Triglycerides, Steviol Glycosides, Melatonin","Third-party verified identity, potency, and contaminant controls on every production lot.","This product is not intended to diagnose, treat, cure or prevent any disease. Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",Add to Cart,Build My Stack,/assets/packshots/core-sleep-sleep-strips.svg
GCN-043,Advanced 100% Whey Protein Isolate (Vanilla),core-performance-advanced-100-whey-protein-isolate-vanilla,Core Performance Advanced 100% Whey Protein Isolate Vanilla,Performance,Core Performance,50,Core Performance Advanced 100% Whey Protein Isolate Vanilla,"Supports exercise performance, strength output, and recovery capacity.",A premium liquid formula engineered for performance routine architecture and long-term consistency,"Supports exercise performance, strength output, and recovery capacity; Supports exercise performance and recovery; Supports digestive comfort, gut function, and nutrient utilization.","As a dietary supplement, adults mix two (2) scoops with 6-8 oz. of water or favorite beverage daily. For best results, take 20-30 minutes before a meal with 8 oz. of water or as directed by your healthcare professional. Do not exceed labeled serving size.","Whey Protein Isolate, Natural Flavors, MCT Oil Powder, Apple Pectin Powder, Sunflower Lecithin, Stevia Extract (leaf), Sea Salt, Silicon Dioxide.","Third-party verified identity, potency, and contaminant controls on every production lot.","Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.KEEP OUT OF THE REACH OF CHILDREN. DO NOT USE IF SAFETY SEAL IS DAMAGED OR MISSING. STORE IN A COOL, DRY PLACE. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-performance-advanced-100-whey-protein-isolate-vanilla.svg
GCN-044,Joint Support,core-recovery-joint-support,Core Recovery Joint Support,Recovery,Core Recovery,30,Core Recovery Joint Support,"Supports joint comfort, mobility, and post-training recovery.",A premium capsules formula engineered for recovery routine architecture and long-term consistency,"Supports joint comfort, mobility, and post-training recovery.","As a dietary supplement, adults take two (2) capsules daily. For best results, take with 6-8 oz of water or as directed by healthcare professional. Do not exceed labeled serving size.","MSM (methylsulfonylmethane), GlucosaGreen® vegetal glucosamine HCl, Turmeric Powder (root), White Willow Bark Extract, Boswellia serrata Extract (resin)(std. to 65% boswellic acids), Black Pepper Extract (fruit) (std. to 95% piperine), Hyaluronic Acid, Gelatin (capsule), Microcrystalline Cellulose (MCC), Magnesium Stearate, Olive Oil, Silicon Dioxide.","Third-party verified identity, potency, and contaminant controls on every production lot.","Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with known medical conditions should consult a physician before using this or any dietary supplement. KEEP OUT OF THE REACH OF CHILDREN. DO NOT USE IF SAFETY SEAL IS DAMAGED OR MISSING. STORE IN A COOL, DRY PLACE. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-recovery-joint-support.svg
GCN-045,Prostate Support,core-immunity-prostate-support,Core Immunity Prostate Support,Immunity,Core Immunity,30,Core Immunity Prostate Support,Supports hormonal and reproductive health markers.,A premium capsules formula engineered for immunity routine architecture and long-term consistency,Supports hormonal and reproductive health markers.,"As a dietary supplement, adults take two (2) capsules daily. For best results, take with 6-8 oz of water or as directed by a healthcare professional. Do not exceed labeled serving size.",Vitamin E (as dl-alpha tocopheryl acetate); Vitamin B6 (as pyridoxine hydrochloride); Saw Palmetto Extract (Serenoa repens) (fruit); Pygeum africanum Extract (bark) (std. to 3% phytosterols); Grape Seed Extract (Vitis vinifera) (seed); Pumpkin Seed Extract (Cucurbita moschata) (seed); Nettle Extract (leaf); Boron (as boron amino acid chelate); Lycopene 5% (Lycopersicum esculentum) (tomato),"Third-party verified identity, potency, and contaminant controls on every production lot.","Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with known medical conditions should consult a physician before using this or any dietary supplement. KEEP OUT OF THE REACH OF CHILDREN. DO NOT USE IF SAFETY SEAL IS DAMAGED OR MISSING. STORE IN A COOL, DRY PLACE. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-immunity-prostate-support.svg
GCN-046,Energy Powder (Fruit Punch),core-performance-energy-powder-fruit-punch,Core Performance Energy Powder Fruit Punch,Performance,Core Performance,35,Core Performance Energy Powder Fruit Punch,Supports exercise performance and recovery.,A premium powder formula engineered for performance routine architecture and long-term consistency,"Supports exercise performance and recovery; Supports cognitive performance, focus, and mental clarity; Supports exercise performance, strength output, and recovery capacity.","Measuring with the scooper located inside the jar, mix each scoop, to desired taste, with 6-10 ounces (177-296 ml) of water (2 scoops with 12-20 ounces (355-591 ml) of water). Do not exceed labeled serving size.","Thiamin (from Vitamin B1), Riboflavin (from Vitamin B2), Niacin (from Vitamin B3), Vitamin B6 (as Pyridoxal-5-phosphate), Folate (from Vitamin B9), Vitamin B12 (as Methylcobalamin), Pantothenic acid (from Vitamin B5), Calcium (from Calcium Ascorbate), Magnesium (from Magnesium Citrate), Sodium (from Sodium Citrate), Potassium (from Potassium Citrate), Taurine, Natural Caffeine (From Green Tea), L-theanine, Polydextrose, Citric acid, N&A Flavors, Sucralose, Calcium silicate, Fruit and Veggie blend (for color).","Third-party verified identity, potency, and contaminant controls on every production lot.","Recommended to not exceed more than 5 scoops within a 24 hour period. Not intended for use by persons with a medical condition. Consult your physician before using this product if you are pregnant of nursing or taking any medication. Manufactured in a facility that produces Milk, Eggs, Fish, Shellfish, Tree Nuts, Peanuts, Wheat, Soybeans, and Sesame. Store in a cool dry place, keep out of reach of children. Do not use if safety seal is broken or missing. Contents sold by weight not volume, some settling may occur. Secure lid tightly when not in use. Consume within 90 days. This product is intended to supplement a balanced diet and active lifestyle. Consult with a healthcare professional before starting any new dietary supplement, especially if you are pregnant, nursing, have any medical conditions, or are taking any medications. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-performance-energy-powder-fruit-punch.svg
GCN-047,Cognitive Support,core-sleep-cognitive-support,Core Sleep Cognitive Support,Sleep,Core Sleep,30,Core Sleep Cognitive Support,"Supports cognitive performance, focus, and mental clarity.",A premium capsules formula engineered for sleep routine architecture and long-term consistency,"Supports cognitive performance, focus, and mental clarity.","As a dietary supplement, adults take one (1) capsule daily. For best results, take with 6-8 oz of water or as directed by healthcare professional. Do not exceed labeled serving size.","Niacin (as niacinamide); Vitamin B6 (as pyridoxine hydrochloride); GABA (Gamma-Aminobutyric Acid), L-Tyrosine, Caffeine, Bacopa monnieri Extract (whole herb), Phosphatidylserine 20% (sunflower), Alpha GPC (Alpha -glycerylphosphorylcholine) Powder, L-Theanine, Huperzine A 1% (Huperzia serrata) (whole herb)","Third-party verified identity, potency, and contaminant controls on every production lot.","Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with known medical conditions should consult a physician before using this or any dietary supplement. KEEP OUT OF THE REACH OF CHILDREN. DO NOT USE IF SAFETY SEAL IS DAMAGED OR MISSING. STORE IN A COOL, DRY PLACE. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-sleep-cognitive-support.svg
GCN-048,Hangover Strips,core-sleep-hangover-strips,Core Sleep Hangover Strips,Sleep,Core Sleep,37,Core Sleep Hangover Strips,"Supports healthy skin, hair, and nail structure.",A premium strips formula engineered for sleep routine architecture and long-term consistency,"Supports healthy skin, hair, and nail structure; Supports restful sleep quality and circadian rhythm; Supports nightly recovery and sleep quality.","Place one oral strip on your tongue and allow it to dissolve. Take one delicious oral strip anytime, up to a maximum of 1 strip a day. Do not exceed labeled serving size.","Pullulan, Pheonix Dactylifera extract, Curcuma Longa extract, Andrographis paniculate extract, Cichorium intybus extract, Vitis Vinifera extract, Phyllanthus Niruri extract, Phyllanthus Emblica extract, Cellulose, Mannitol, Licorice extract, Lecithin, Malic acid, Mango Flavor, Steviol glycosides, Orange flavor","Third-party verified identity, potency, and contaminant controls on every production lot.","This product is not intended to diagnose, treat, cure or prevent any disease. Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.",Add to Cart,Build My Stack,/assets/packshots/core-sleep-hangover-strips.svg
GCN-049,Horny Goat Weed Blend,core-performance-horny-goat-weed-blend,Core Performance Horny Goat Weed Blend,Performance,Core Performance,34,Core Performance Horny Goat Weed Blend,Supports hormonal and reproductive health markers.,A premium capsules formula engineered for performance routine architecture and long-term consistency,"Supports hormonal and reproductive health markers; Supports cognitive performance, focus, and mental clarity; Supports exercise performance, strength output, and recovery capacity.","As a dietary supplement, take two (2) capsules once a day. For best results, take 20-30 min before a meal with an 8oz. glass of water or as directed by your healthcare professional. Do not exceed labeled serving size.","Horny Goat Weed Extract, Maca Root Powder, Polypodium Vulgare Powder, Tongkat Ali Root Powder, Saw Palmetto Berry Powder, Muira Puama Root Powder, L-Arginine HCL, Panax Ginseng Root Powder, Gelatin Capsule, Rice Flour, Vegetable Magnesium Stearate.","Third-party verified identity, potency, and contaminant controls on every production lot.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-performance-horny-goat-weed-blend.svg
GCN-050,Grass-Fed Hydrolyzed Collagen Peptides,core-recovery-grass-fed-hydrolyzed-collagen-peptides,Core Recovery Grass-fed Hydrolyzed Collagen Peptides,Recovery,Core Recovery,34,Core Recovery Grass-fed Hydrolyzed Collagen Peptides,"Supports joint comfort, mobility, and post-training recovery.",A premium capsules formula engineered for recovery routine architecture and long-term consistency,"Supports joint comfort, mobility, and post-training recovery; Supports healthy skin, hair, and nail structure; Supports exercise performance, strength output, and recovery capacity.",Add one (1) level scoop to 8-10 oz. (236-295 ml) of chilled water or preferred beverage in a shaker cup and mix for about 5 seconds. Drink and enjoy a shake each day. Do not exceed labeled serving size.,Bovine Hide Collagen Peptides.,"Third-party verified identity, potency, and contaminant controls on every production lot.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-recovery-grass-fed-hydrolyzed-collagen-peptides.svg
GCN-051,Lion's Mane Mushroom,core-focus-lions-mane-mushroom,Core Focus Lions Mane Mushroom,Focus,Core Focus,34,Core Focus Lions Mane Mushroom,"Supports cognitive performance, focus, and mental clarity.",A premium capsules formula engineered for focus routine architecture and long-term consistency,"Supports cognitive performance, focus, and mental clarity; Supports cognitive performance and stress resilience.","As a dietary supplement, adults take two (2) capsules daily or as directed by a health care professional. Can be taken with food or on an empty stomach. Do not exceed labeled serving size.","Organic Lion’s Mane (Hericum erinaceus) Mushroom Fruiting Body & Mycelium Powder (Standardized to 40% polysaccharides [400mg]), Organic capsule (pullulan, water), organic pea starch.","Third-party verified identity, potency, and contaminant controls on every production lot.","Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place. Keep out of reach of children. Do not use if safety seal is damaged. This product is not intended to diagnose, treat, cure, or prevent any disease.",Add to Cart,Build My Stack,/assets/packshots/core-focus-lions-mane-mushroom.svg
